school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,53,Loudoun County,270,Newton-Lee Elementary,569,62,631
2021-2022,53,Loudoun County,60,Park View High,1409,NA,1409
2021-2022,53,Loudoun County,340,Pinebrook Elementary,791,NA,791
2021-2022,53,Loudoun County,140,Potomac Falls High,1621,NA,1621
2021-2022,53,Loudoun County,250,Potowmack Elementary,528,NA,528
2021-2022,53,Loudoun County,930,River Bend Middle,1140,NA,1140
2021-2022,53,Loudoun County,1050,Riverside High,1822,NA,1822
2021-2022,53,Loudoun County,1060,Rock Ridge High,1395,1,1396
2021-2022,53,Loudoun County,40,Rolling Ridge Elementary,526,61,587
2021-2022,53,Loudoun County,550,Rosa Lee Carter Elementary,841,NA,841
2021-2022,53,Loudoun County,180,Round Hill Elementary,548,NA,548
2021-2022,53,Loudoun County,240,Sanders Corner Elementary,460,NA,460
2021-2022,53,Loudoun County,870,Seldens Landing Elementary,580,NA,580
2021-2022,53,Loudoun County,30,Seneca Ridge Middle,1003,NA,1003
2021-2022,53,Loudoun County,90,Smart's Mill Middle,920,2,922
2021-2022,53,Loudoun County,690,Sterling Elementary,435,NA,435
2021-2022,53,Loudoun County,760,Sterling Middle,1081,2,1083
2021-2022,53,Loudoun County,350,Steuart W. Weller Elementary,646,NA,646
2021-2022,53,Loudoun County,850,Stone Bridge High,1738,2,1740
2021-2022,53,Loudoun County,570,Stone Hill Middle,1138,NA,1138
2021-2022,53,Loudoun County,10,Sugarland Elementary,481,NA,481
2021-2022,53,Loudoun County,750,Sully Elementary,441,30,471
2021-2022,53,Loudoun County,280,Sycolin Creek Elementary,538,NA,538
2021-2022,53,Loudoun County,1040,Trailside Middle,1137,1,1138
2021-2022,53,Loudoun County,200,Tuscarora High,1398,3,1401
2021-2022,53,Loudoun County,532,W.O. Robey High,20,NA,20
2021-2022,53,Loudoun County,700,Waterford Elementary,232,NA,232
2021-2022,53,Loudoun County,1140,Waxpool Elementary,728,NA,728
2021-2022,53,Loudoun County,360,Willard Middle,1573,NA,1573
2021-2022,53,Loudoun County,590,Woodgrove High,1562,4,1566
2021-2022,54,Louisa County,660,Jouett Elementary,575,NA,575
2021-2022,54,Louisa County,602,Louisa County High,1642,NA,1642
2021-2022,54,Louisa County,601,Louisa County Middle,1212,NA,1212
2021-2022,54,Louisa County,80,Moss-Nuckols Elementary,591,NA,591
2021-2022,54,Louisa County,610,Thomas Jefferson Elementary,647,NA,647
2021-2022,54,Louisa County,641,Trevilians Elementary,501,NA,501
2021-2022,55,Lunenburg County,560,Central High,492,NA,492
2021-2022,55,Lunenburg County,240,Kenbridge Elementary,360,NA,360
2021-2022,55,Lunenburg County,171,Lunenburg Middle,364,NA,364
2021-2022,55,Lunenburg County,140,Victoria Elementary,391,NA,391
2021-2022,115,Lynchburg City,290,Bedford Hills Elementary,369,3,372
2021-2022,115,Lynchburg City,70,Dearington Elementary/Innovation,144,3,147
2021-2022,115,Lynchburg City,260,E.C. Glass High,1359,NA,1359
2021-2022,115,Lynchburg City,1102,Heritage Elementary,439,9,448
2021-2022,115,Lynchburg City,130,Heritage High,1066,NA,1066
2021-2022,115,Lynchburg City,360,Linkhorne Elementary,419,5,424
2021-2022,115,Lynchburg City,350,Linkhorne Middle,599,NA,599
2021-2022,115,Lynchburg City,170,Paul Laurence Dunbar Middle for Innovation,554,NA,554
2021-2022,115,Lynchburg City,330,Paul Munro Elementary,350,5,355
2021-2022,115,Lynchburg City,270,Perrymont Elementary,370,1,371
2021-2022,115,Lynchburg City,190,Robert S. Payne Elementary,450,4,454
2021-2022,115,Lynchburg City,370,Sandusky Elementary,334,4,338
2021-2022,115,Lynchburg City,340,Sandusky Middle,548,NA,548
2021-2022,115,Lynchburg City,300,Sheffield Elementary,442,9,451
2021-2022,115,Lynchburg City,90,T.C. Miller Elementary for Innovation,201,NA,201
2021-2022,115,Lynchburg City,250,William M. Bass Elementary,186,6,192
2021-2022,56,Madison County,221,Madison County High,556,3,559
2021-2022,56,Madison County,230,Madison Primary,324,42,366
2021-2022,56,Madison County,200,Waverly Yowell Elementary,351,NA,351
2021-2022,56,Madison County,222,William H. Wetsel Middle,388,NA,388
2021-2022,143,Manassas City,470,Baldwin Elementary,582,79,661
2021-2022,143,Manassas City,471,Baldwin Intermediate,274,NA,274
2021-2022,143,Manassas City,60,George Carr Round Elementary,469,76,545
2021-2022,143,Manassas City,70,Grace E. Metz Middle,1115,NA,1115
2021-2022,143,Manassas City,310,Jennie Dean Elementary,559,88,647
2021-2022,143,Manassas City,80,Mayfield Intermediate,802,NA,802
2021-2022,143,Manassas City,370,Osbourn High,2268,NA,2268
2021-2022,143,Manassas City,20,Richard C. Haydon Elementary,558,91,649
2021-2022,143,Manassas City,10,Weems Elementary,532,99,631
2021-2022,144,Manassas Park City,522,Cougar Elementary,840,NA,840
2021-2022,144,Manassas Park City,420,Manassas Park Elementary,737,NA,737
2021-2022,144,Manassas Park City,30,Manassas Park High,1122,NA,1122
2021-2022,144,Manassas Park City,31,Manassas Park Middle,809,NA,809
2021-2022,116,Martinsville City,222,Albert Harris Elementary,403,NA,403
2021-2022,116,Martinsville City,224,Clearview Early Learning Center,97,NA,97
2021-2022,116,Martinsville City,110,Martinsville High,556,NA,556
2021-2022,116,Martinsville City,10,Martinsville Middle,402,NA,402
2021-2022,116,Martinsville City,223,Patrick Henry Elementary,359,NA,359
2021-2022,57,Mathews County,291,Mathews Elementary,319,NA,319
2021-2022,57,Mathews County,190,Mathews High,293,NA,293
2021-2022,57,Mathews County,100,Thomas Hunter Middle,291,NA,291
2021-2022,58,Mecklenburg County,980,Bluestone  High,839,2,841
2021-2022,58,Mecklenburg County,960,Bluestone Middle,363,NA,363
2021-2022,58,Mecklenburg County,910,Chase City Elementary,371,NA,371
2021-2022,58,Mecklenburg County,1000,Clarksville Elementary,422,NA,422
2021-2022,58,Mecklenburg County,1020,LaCrosse Elementary,348,NA,348
2021-2022,58,Mecklenburg County,990,Park View High,842,NA,842
2021-2022,58,Mecklenburg County,950,Park View Middle,504,NA,504
2021-2022,58,Mecklenburg County,190,South Hill Elementary,749,NA,749
2021-2022,59,Middlesex County,291,Middlesex Elementary,593,NA,593
2021-2022,59,Middlesex County,90,Middlesex High,335,NA,335
2021-2022,59,Middlesex County,140,St. Clare Walker Middle,274,NA,274
2021-2022,60,Montgomery County,902,Auburn Elementary,551,NA,551
2021-2022,60,Montgomery County,650,Auburn High,373,NA,373
2021-2022,60,Montgomery County,903,Auburn Middle,288,NA,288
2021-2022,60,Montgomery County,700,Belview Elementary,274,NA,274
2021-2022,60,Montgomery County,760,Blacksburg High,1322,NA,1322
2021-2022,60,Montgomery County,710,Blacksburg Middle,927,NA,927
2021-2022,60,Montgomery County,740,Christiansburg Elementary,389,NA,389
2021-2022,60,Montgomery County,770,Christiansburg High,1095,2,1097
2021-2022,60,Montgomery County,671,Christiansburg Middle,793,NA,793
2021-2022,60,Montgomery County,780,Christiansburg Primary,437,NA,437
2021-2022,60,Montgomery County,30,Eastern Montgomery Elementary,398,NA,398
2021-2022,60,Montgomery County,904,Eastern Montgomery High,292,1,293
2021-2022,60,Montgomery County,600,Falling Branch Elementary,561,NA,561
2021-2022,60,Montgomery County,750,Gilbert Linkous Elementary,318,NA,318
2021-2022,60,Montgomery County,10,Harding Avenue Elementary,272,NA,272
2021-2022,60,Montgomery County,901,Kipps Elementary,373,1,374
2021-2022,60,Montgomery County,730,Margaret Beeks Elementary,369,NA,369
2021-2022,60,Montgomery County,210,Prices Fork Elementary,456,NA,456
2021-2022,60,Montgomery County,290,Shawsville Middle,210,2,212
2021-2022,62,Nelson County,710,Nelson County High,545,NA,545
2021-2022,62,Nelson County,730,Nelson Middle,359,NA,359
2021-2022,62,Nelson County,10,Rockfish River Elementary,286,NA,286
2021-2022,62,Nelson County,20,Tye River Elementary,348,NA,348
2021-2022,63,New Kent County,180,George W. Watkins Elementary,723,NA,723
2021-2022,63,New Kent County,10,New Kent Elementary,701,NA,701
2021-2022,63,New Kent County,20,New Kent High,1083,NA,1083
2021-2022,63,New Kent County,100,New Kent Middle,766,NA,766
2021-2022,117,Newport News City,1404,Achievable Dream Academy,602,NA,602
2021-2022,117,Newport News City,1405,Achievable Dream Middle/High,505,NA,505
2021-2022,117,Newport News City,1250,B.C. Charles Elementary,370,NA,370
2021-2022,117,Newport News City,110,B.T. Washington Middle,416,NA,416
2021-2022,117,Newport News City,1170,Carver Elementary,593,NA,593
2021-2022,117,Newport News City,1393,Crittenden Middle,904,NA,904
2021-2022,117,Newport News City,50,David A. Dutrow Elementary,464,NA,464
2021-2022,117,Newport News City,1398,Deer Park Elementary,530,3,533
2021-2022,117,Newport News City,1402,Denbigh Early Childhood Center,382,NA,382
2021-2022,117,Newport News City,280,Denbigh High,1211,NA,1211
2021-2022,117,Newport News City,130,Discovery STEM Academy,558,NA,558
2021-2022,117,Newport News City,20,Ella J. Fitzgerald Middle,1115,NA,1115
2021-2022,117,Newport News City,1260,Ethel M. Gildersleeve Middle,1083,NA,1083
2021-2022,117,Newport News City,1407,General Stanford Elementary,490,NA,490
2021-2022,117,Newport News City,70,George J. McIntosh Elementary,421,NA,421
2021-2022,117,Newport News City,1395,Heritage High,1169,NA,1169
2021-2022,117,Newport News City,1210,Hidenwood Elementary,544,NA,544
2021-2022,117,Newport News City,1080,Hilton Elementary,378,NA,378
2021-2022,117,Newport News City,1270,Homer L. Hines Middle,952,NA,952
2021-2022,117,Newport News City,91,Huntington Middle,282,NA,282
2021-2022,117,Newport News City,1411,John Marshall Early Childhood Center,222,NA,222
2021-2022,117,Newport News City,300,Joseph H. Saunders Elementary,606,NA,606
2021-2022,117,Newport News City,1180,Katherine Johnson Elementary,511,NA,511
2021-2022,117,Newport News City,1290,Kiln Creek Elementary,621,NA,621
2021-2022,117,Newport News City,310,Knollwood Meadows Elementary,451,NA,451
2021-2022,117,Newport News City,200,L.F. Palmer Elementary,417,NA,417
2021-2022,117,Newport News City,1400,Mary Passage Middle,987,NA,987
2021-2022,117,Newport News City,1220,Menchville High,1733,NA,1733
2021-2022,117,Newport News City,1120,Newsome Park Elementary,487,NA,487
2021-2022,117,Newport News City,150,Oliver C. Greenwood Elementary,559,NA,559
2021-2022,117,Newport News City,270,Richard T. Yates Elementary,390,NA,390
2021-2022,117,Newport News City,1230,Richneck Elementary,586,NA,586
2021-2022,117,Newport News City,1150,Riverside Elementary,485,NA,485
2021-2022,117,Newport News City,250,Sedgefield Elementary,445,NA,445
2021-2022,117,Newport News City,1240,Stoney Run Elementary,472,NA,472
2021-2022,117,Newport News City,290,T. Ryland Sanford Elementary,506,NA,506
2021-2022,117,Newport News City,1070,Warwick High,1623,NA,1623
2021-2022,117,Newport News City,1410,Watkins Early Childhood Center,391,1,392
2021-2022,117,Newport News City,320,Willis A. Jenkins Elementary,469,NA,469
2021-2022,117,Newport News City,1396,Woodside High,1742,1,1743
2021-2022,118,Norfolk City,185,Academy for Discovery at Lakewood,719,NA,719
2021-2022,118,Norfolk City,760,Azalea Gardens Middle,868,NA,868
2021-2022,118,Norfolk City,250,Bay View Elementary,519,NA,519
2021-2022,118,Norfolk City,510,Berkley/Campostella Early Childhood Education Center,166,NA,166
2021-2022,118,Norfolk City,20,Blair Middle,1217,NA,1217
2021-2022,118,Norfolk City,880,Booker T Washington High,978,NA,978
2021-2022,118,Norfolk City,40,Camp Allen Elementary,413,NA,413
2021-2022,118,Norfolk City,220,Chesterfield Academy Elementary,320,NA,320
2021-2022,118,Norfolk City,550,Coleman Place Elementary,614,NA,614
2021-2022,118,Norfolk City,560,Crossroads Elementary,776,NA,776
2021-2022,118,Norfolk City,740,Easton Preschool,87,NA,87
2021-2022,118,Norfolk City,90,Ghent K-8,486,NA,486
2021-2022,118,Norfolk City,420,Granby Elementary,496,NA,496
2021-2022,118,Norfolk City,390,Granby High,1863,NA,1863
2021-2022,118,Norfolk City,610,Ingleside Elementary,496,NA,496
2021-2022,118,Norfolk City,430,Jacox Elementary,541,NA,541
2021-2022,118,Norfolk City,131,James Monroe Elementary,256,NA,256
2021-2022,118,Norfolk City,790,Lake Taylor,647,NA,647
2021-2022,118,Norfolk City,840,Lake Taylor High,1012,NA,1012
2021-2022,118,Norfolk City,210,Larchmont Elementary,448,NA,448
2021-2022,118,Norfolk City,670,Larrymore Elementary,559,NA,559
2021-2022,118,Norfolk City,520,Lindenwood Elementary,280,NA,280
2021-2022,118,Norfolk City,682,Little Creek Elementary,590,NA,590
2021-2022,118,Norfolk City,460,Mary Calcott Elementary,429,NA,429
2021-2022,118,Norfolk City,10,Matthew Fontaine Maury High,1623,NA,1623
2021-2022,118,Norfolk City,490,Northside Middle,787,NA,787
2021-2022,118,Norfolk City,620,Norview Elementary,400,NA,400
2021-2022,118,Norfolk City,580,Norview High,1889,NA,1889
2021-2022,118,Norfolk City,570,Norview Middle,1280,NA,1280
2021-2022,118,Norfolk City,190,Ocean View Elementary,492,NA,492
2021-2022,118,Norfolk City,630,Oceanair Elementary,442,NA,442
2021-2022,118,Norfolk City,530,P.B. Young Sr. Elementary,292,NA,292
2021-2022,118,Norfolk City,480,Richard Bowling Elementary,473,NA,473
2021-2022,118,Norfolk City,850,Sewells Point Elementary,506,NA,506
2021-2022,118,Norfolk City,650,Sherwood Forest Elementary,450,NA,450
2021-2022,118,Norfolk City,770,Southside STEM Academy at Campostella,873,NA,873
2021-2022,118,Norfolk City,820,St. Helena Elementary,229,NA,229
2021-2022,118,Norfolk City,500,Suburban Park Elementary,445,NA,445
2021-2022,118,Norfolk City,100,Tanners Creek Elementary,550,NA,550
2021-2022,118,Norfolk City,800,Tarrallton Elementary,324,NA,324
2021-2022,118,Norfolk City,780,Tidewater Park Elementary,190,NA,190
2021-2022,118,Norfolk City,150,Walter Herron Taylor Elementary,318,NA,318
2021-2022,118,Norfolk City,471,Willard Model Elementary,488,NA,488
2021-2022,118,Norfolk City,30,William H. Ruffner Middle,524,NA,524
2021-2022,118,Norfolk City,860,Willoughby Early Childhood Center,123,NA,123
2021-2022,65,Northampton County,452,Kiptopeke Elementary,356,NA,356
2021-2022,65,Northampton County,350,Northampton High,426,NA,426
2021-2022,65,Northampton County,360,Northampton Middle,194,NA,194
2021-2022,65,Northampton County,451,Occohannock Elementary,374,NA,374
2021-2022,66,Northumberland County,331,Northumberland Elementary,542,NA,542
2021-2022,66,Northumberland County,40,Northumberland High,361,NA,361
2021-2022,66,Northumberland County,210,Northumberland Middle,278,NA,278
2021-2022,119,Norton City,20,J.I. Burton High,323,NA,323
2021-2022,119,Norton City,40,Norton Elementary,505,NA,505
2021-2022,67,Nottoway County,340,Blackstone Primary,389,NA,389
2021-2022,67,Nottoway County,330,Crewe Primary,358,NA,358
2021-2022,67,Nottoway County,301,Nottoway High,564,NA,564
2021-2022,67,Nottoway County,300,Nottoway Intermediate,237,NA,237
2021-2022,67,Nottoway County,302,Nottoway Middle,276,NA,276
2021-2022,68,Orange County,360,Gordon-Barbour Elementary,314,NA,314
2021-2022,68,Orange County,70,Lightfoot Elementary,253,NA,253
2021-2022,68,Orange County,50,Locust Grove Elementary,496,NA,496
2021-2022,68,Orange County,471,Locust Grove Middle,671,NA,671
2021-2022,68,Orange County,51,Locust Grove Primary,422,NA,422
2021-2022,68,Orange County,330,Orange County High,1521,1,1522
2021-2022,68,Orange County,370,Orange Elementary,645,NA,645
2021-2022,68,Orange County,340,Prospect Heights Middle,476,NA,476
2021-2022,68,Orange County,350,Unionville Elementary,229,NA,229
2021-2022,69,Page County,350,Luray Elementary,464,NA,464
2021-2022,69,Page County,110,Luray High,503,NA,503
2021-2022,69,Page County,400,Luray Middle,345,NA,345
2021-2022,69,Page County,380,Page County High,552,NA,552
2021-2022,69,Page County,390,Page County Middle,376,NA,376
2021-2022,69,Page County,310,Shenandoah Elementary,307,NA,307
2021-2022,69,Page County,50,Springfield Elementary,219,NA,219
2021-2022,69,Page County,210,Stanley Elementary,370,NA,370
2021-2022,70,Patrick County,440,Blue Ridge Elementary,255,NA,255
2021-2022,70,Patrick County,350,Hardin Reynolds Memorial School,217,NA,217
2021-2022,70,Patrick County,150,Meadows of Dan Elementary,424,NA,424
2021-2022,70,Patrick County,700,Patrick County High,867,NA,867
2021-2022,70,Patrick County,680,Patrick Springs Primary,254,NA,254
2021-2022,70,Patrick County,320,Stuart Elementary,377,NA,377
2021-2022,70,Patrick County,80,Woolwine Elementary,144,NA,144
2021-2022,120,Petersburg City,110,Cool Spring Elementary,521,NA,521
2021-2022,120,Petersburg City,170,Lakemont Elementary,342,NA,342
2021-2022,120,Petersburg City,200,Petersburg High,1027,NA,1027
2021-2022,120,Petersburg City,180,Pleasants Lane Elementary,523,NA,523
2021-2022,120,Petersburg City,121,Vernon Johns Middle,917,NA,917
2021-2022,120,Petersburg City,130,Walnut Hill Elementary,525,NA,525
2021-2022,120,Petersburg City,160,Westview Early Childhood Education Center,324,NA,324
2021-2022,71,Pittsylvania County,1853,Brosville Elementary,210,NA,210
2021-2022,71,Pittsylvania County,640,Chatham Elementary,239,NA,239
2021-2022,71,Pittsylvania County,1720,Chatham High,616,NA,616
2021-2022,71,Pittsylvania County,1660,Chatham Middle,462,NA,462
2021-2022,71,Pittsylvania County,1680,Dan River High,628,NA,628
2021-2022,71,Pittsylvania County,1090,Dan River Middle,444,NA,444
2021-2022,71,Pittsylvania County,280,Gretna Elementary,464,NA,464
2021-2022,71,Pittsylvania County,1700,Gretna High,554,NA,554
2021-2022,71,Pittsylvania County,290,Gretna Middle,406,NA,406
2021-2022,71,Pittsylvania County,30,John L. Hurt Elementary,233,NA,233
2021-2022,71,Pittsylvania County,1690,Kentuck Elementary,503,NA,503
2021-2022,71,Pittsylvania County,1750,Mount Airy Elementary,132,NA,132
2021-2022,71,Pittsylvania County,1460,Southside Elementary,393,NA,393
2021-2022,71,Pittsylvania County,1710,Stony Mill Elementary,413,NA,413
2021-2022,71,Pittsylvania County,1730,Tunstall High,835,NA,835
2021-2022,71,Pittsylvania County,1130,Tunstall Middle,573,NA,573
2021-2022,71,Pittsylvania County,1851,Twin Springs Elementary,642,NA,642
2021-2022,71,Pittsylvania County,1740,Union Hall Elementary,168,NA,168
2021-2022,142,Poquoson City,150,Poquoson Elementary,452,NA,452
2021-2022,142,Poquoson City,10,Poquoson High,698,1,699
2021-2022,142,Poquoson City,130,Poquoson Middle,472,NA,472
2021-2022,142,Poquoson City,160,Poquoson Primary,434,31,465
2021-2022,121,Portsmouth City,1766,Brighton Elementary,432,NA,432
2021-2022,121,Portsmouth City,321,Churchland Academy Elementary,628,NA,628
2021-2022,121,Portsmouth City,650,Churchland Elementary,652,NA,652
2021-2022,121,Portsmouth City,500,Churchland High,1419,NA,1419
2021-2022,121,Portsmouth City,320,Churchland Middle,878,NA,878
2021-2022,121,Portsmouth City,322,Churchland Preschool Center,123,NA,123
2021-2022,121,Portsmouth City,160,Churchland Primary & Intermediate,599,NA,599
2021-2022,121,Portsmouth City,1400,Cradock Elementary,665,NA,665
2021-2022,121,Portsmouth City,1130,Cradock Middle,524,NA,524
2021-2022,121,Portsmouth City,190,Douglass Park Elementary,576,NA,576
2021-2022,121,Portsmouth City,1630,Hodges Manor Elementary,482,NA,482
2021-2022,121,Portsmouth City,240,I.C. Norcom High,1091,NA,1091
2021-2022,121,Portsmouth City,1650,Lakeview Elementary,437,NA,437
2021-2022,121,Portsmouth City,1660,Manor High,1260,NA,1260
2021-2022,121,Portsmouth City,1768,Mount Hermon Preschool Center,217,NA,217
2021-2022,121,Portsmouth City,1770,Olive Branch Preschool Center,212,NA,212
2021-2022,121,Portsmouth City,60,Park View Elementary,518,NA,518
2021-2022,121,Portsmouth City,290,Simonsdale Elementary,586,NA,586
2021-2022,121,Portsmouth City,1769,Victory Elementary,559,NA,559
2021-2022,121,Portsmouth City,230,Waterview Elementary,618,NA,618
2021-2022,121,Portsmouth City,210,Westhaven Elementary,471,NA,471
2021-2022,121,Portsmouth City,310,William E. Waters Middle,570,NA,570
2021-2022,72,Powhatan County,21,Flat Rock Elementary,663,NA,663
2021-2022,72,Powhatan County,231,Pocahontas Elementary,762,NA,762
2021-2022,72,Powhatan County,13,Powhatan Elementary,439,NA,439
2021-2022,72,Powhatan County,11,Powhatan High,1444,9,1453
2021-2022,72,Powhatan County,130,Powhatan Middle,987,1,988
2021-2022,73,Prince Edward County,400,Prince Edward County High,580,NA,580
2021-2022,73,Prince Edward County,10,Prince Edward Elementary,774,3,777
2021-2022,73,Prince Edward County,20,Prince Edward Middle,560,NA,560
2021-2022,74,Prince George County,340,David A. Harrison Elementary,527,NA,527
2021-2022,74,Prince George County,320,J.E.J. Moore Middle,1414,1,1415
2021-2022,74,Prince George County,310,L.L. Beazley Elementary,616,NA,616
2021-2022,74,Prince George County,290,North Elementary,750,NA,750
2021-2022,74,Prince George County,20,Prince George High,1785,1,1786
2021-2022,74,Prince George County,300,South Elementary,490,NA,490
2021-2022,74,Prince George County,280,William A. Walton Elementary,557,NA,557
2021-2022,75,Prince William County,330,A. Henderson Elementary,788,NA,788
2021-2022,75,Prince William County,760,Antietam Elementary,768,NA,768
2021-2022,75,Prince William County,200,Ashland Elementary,784,NA,784
2021-2022,75,Prince William County,290,Battlefield High,2555,6,2561
2021-2022,75,Prince William County,670,Bel Air Elementary,395,NA,395
2021-2022,75,Prince William County,600,Belmont Elementary,510,NA,510
2021-2022,75,Prince William County,840,Bennett Elementary,720,NA,720
2021-2022,75,Prince William County,530,Brentsville District High,940,1,941
2021-2022,75,Prince William County,860,Bristow Run Elementary,655,NA,655
2021-2022,75,Prince William County,950,Buckland Mills Elementary,739,NA,739
2021-2022,75,Prince William County,920,Bull Run Middle,1108,NA,1108
2021-2022,75,Prince William County,620,C.A. Sinclair Elementary,802,NA,802
2021-2022,75,Prince William County,710,C.D. Hylton High,2077,1,2078
2021-2022,75,Prince William County,900,Cedar Point Elementary,506,NA,506
2021-2022,75,Prince William County,5010,Charles J. Colgan Sr. High,2869,1,2870
2021-2022,75,Prince William County,970,Chris Yung Elementary,795,NA,795
2021-2022,75,Prince William County,660,Coles Elementary,398,NA,398
2021-2022,75,Prince William County,309,Covington-Harper Elementary,815,NA,815
2021-2022,75,Prince William County,610,Dale City Elementary,424,NA,424
2021-2022,75,Prince William County,280,Dumfries Elementary,467,NA,467
2021-2022,75,Prince William County,490,E.H. Marsteller Middle,1200,1,1201
2021-2022,75,Prince William County,580,Elizabeth Vaughan Elementary,547,NA,547
2021-2022,75,Prince William County,120,Enterprise Elementary,393,NA,393
2021-2022,75,Prince William County,370,Fannie W. Fitzgerald Elementary,902,NA,902
2021-2022,75,Prince William County,450,Featherstone Elementary,512,NA,512
2021-2022,75,Prince William County,870,Forest Park High,2308,NA,2308
2021-2022,75,Prince William County,520,Fred M. Lynn Middle,1143,NA,1143
2021-2022,75,Prince William County,300,Freedom High,2193,NA,2193
2021-2022,75,Prince William County,5130,Gainesville High,1389,NA,1389
2021-2022,75,Prince William County,960,Gainesville Middle,1396,NA,1396
2021-2022,75,Prince William County,690,Gar-Field High,2513,NA,2513
2021-2022,75,Prince William County,630,George G. Tyler Elementary,449,NA,449
2021-2022,75,Prince William County,640,George M. Hampton Middle,922,NA,922
2021-2022,75,Prince William County,770,George P. Mullen Elementary,703,NA,703
2021-2022,75,Prince William County,340,Glenkirk Elementary,636,NA,636
2021-2022,75,Prince William County,510,Graham Park Middle,724,NA,724
2021-2022,75,Prince William County,250,Haymarket Elementary,865,NA,865
2021-2022,75,Prince William County,380,Herbert J. Saunders Middle,1192,NA,1192
2021-2022,75,Prince William County,220,J.W. Alvey Elementary,577,NA,577
2021-2022,75,Prince William County,319,John D. Jenkins Elementary,627,NA,627
2021-2022,75,Prince William County,130,John F. Pattie Sr. Elementary,872,NA,872
2021-2022,75,Prince William County,70,Kerrydale Elementary,333,NA,333
2021-2022,75,Prince William County,306,Kyle R. Wilson Elementary,848,NA,848
2021-2022,75,Prince William County,180,Lake Ridge Elementary,687,NA,687
2021-2022,75,Prince William County,720,Lake Ridge Middle,1423,1,1424
2021-2022,75,Prince William County,830,Leesylvania Elementary,670,NA,670
2021-2022,75,Prince William County,460,Loch Lomond Elementary,550,NA,550
2021-2022,75,Prince William County,880,Louise A. Benton Middle,1392,NA,1392
2021-2022,75,Prince William County,160,Martin Luther King Jr. Elementary,436,NA,436
2021-2022,75,Prince William County,570,Marumsco Hills Elementary,549,NA,549
2021-2022,75,Prince William County,231,Mary G. Porter Traditional,670,NA,670
2021-2022,75,Prince William County,240,Mary Williams Elementary,661,NA,661
2021-2022,75,Prince William County,30,Minnieville Elementary,604,NA,604
2021-2022,75,Prince William County,800,Montclair Elementary,607,NA,607
2021-2022,75,Prince William County,810,Mountain View Elementary,490,NA,490
2021-2022,75,Prince William County,700,Neabsco Elementary,648,NA,648
2021-2022,75,Prince William County,260,Occoquan Elementary,621,NA,621
2021-2022,75,Prince William County,820,Old Bridge Elementary,479,NA,479
2021-2022,75,Prince William County,80,Osbourn Park High,2757,NA,2757
2021-2022,75,Prince William County,501,Parkside Middle,1459,NA,1459
2021-2022,75,Prince William County,1060,Patriot High,2342,3,2345
2021-2022,75,Prince William County,945,Pennington Traditional,649,NA,649
2021-2022,75,Prince William County,110,Piney Branch Elementary,752,NA,752
2021-2022,75,Prince William County,140,Potomac High,2004,NA,2004
2021-2022,75,Prince William County,170,Potomac Middle,904,NA,904
2021-2022,75,Prince William County,414,Potomac Shores Middle,1077,NA,1077
2021-2022,75,Prince William County,550,Potomac View Elementary,546,NA,546
2021-2022,75,Prince William County,440,R. Dean Kilby Elementary,646,NA,646
2021-2022,75,Prince William County,591,Rippon Middle,1196,NA,1196
2021-2022,75,Prince William County,750,River Oaks Elementary,564,NA,564
2021-2022,75,Prince William County,40,Rockledge Elementary,492,NA,492
2021-2022,75,Prince William County,310,Ronald Wilson Reagan Middle,1386,NA,1386
2021-2022,75,Prince William County,941,Rosa Parks Elementary,612,NA,612
2021-2022,75,Prince William County,360,Samuel L. Gravely Jr. Elementary,808,NA,808
2021-2022,75,Prince William County,730,Sharon C. McAuliffe Elementary,417,NA,417
2021-2022,75,Prince William County,500,Signal Hill Elementary,751,NA,751
2021-2022,75,Prince William County,850,Sonnie Penn Elementary,690,NA,690
2021-2022,75,Prince William County,320,Springwoods Elementary,864,NA,864
2021-2022,75,Prince William County,780,Stuart M. Beville Middle,1099,NA,1099
2021-2022,75,Prince William County,20,Sudley Elementary,644,NA,644
2021-2022,75,Prince William County,270,Suella G. Ellis Elementary,457,NA,457
2021-2022,75,Prince William County,890,Swans Creek Elementary,612,NA,612
2021-2022,75,Prince William County,470,T. Clay Wood Elementary,827,NA,827
2021-2022,75,Prince William County,150,The Nokesville School,1132,NA,1132
2021-2022,75,Prince William County,790,Thurgood Marshall Elementary,646,NA,646
2021-2022,75,Prince William County,430,Triangle Elementary,732,NA,732
2021-2022,75,Prince William County,480,Unity Braxton Middle,1101,NA,1101
2021-2022,75,Prince William County,680,Unity Reed High,2453,NA,2453
2021-2022,75,Prince William County,390,Victory Elementary,651,NA,651
2021-2022,75,Prince William County,540,West Gate Elementary,590,NA,590
2021-2022,75,Prince William County,740,Westridge Elementary,688,NA,688
2021-2022,75,Prince William County,190,Woodbine Pre-School Center,61,NA,61
2021-2022,75,Prince William County,60,Woodbridge High,2831,5,2836
2021-2022,75,Prince William County,560,Woodbridge Middle,1034,NA,1034
2021-2022,75,Prince William County,350,Yorkshire Elementary,796,NA,796
2021-2022,77,Pulaski County,20,Critzer Elementary,399,NA,399
2021-2022,77,Pulaski County,540,Dublin Elementary,415,NA,415
2021-2022,77,Pulaski County,560,Pulaski County Middle,909,NA,909
2021-2022,77,Pulaski County,10,Pulaski County Senior High,1227,NA,1227
