division_number,nces_school_num,school_num,school_name,low_grades,high_grades,school_description,grade_standard,city,zip,fall_membership_schools,sch_id,region_name,region_number,division_name
002,510009000026,0020,Leslie H. Walton Middle,06,08,Public school - Regular,Middle,Charlottesville,22903,Membership,0020020,Valley,5,Albemarle County
002,NA,9997,Local or Regional Jail,KG,12,Local or Regional Jail,Other,Charlottesville,22902,Membership,0029997,Valley,5,Albemarle County
002,510009000027,0040,Mary Carr Greer Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22901,Membership,0020040,Valley,5,Albemarle County
002,510009002974,0350,Monticello Governor's Health Sciences Academy,NA,NA,Public center - Governor's Health Academy,NA,Charlottesville,22902,Non-Membership,0020350,Valley,5,Albemarle County
002,510009001747,1052,Monticello High,09,12,Public school - Regular,High,Charlottesville,22902,Membership,0021052,Valley,5,Albemarle County
002,510009002173,0150,Mountain View Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22902,Membership,0020150,Valley,5,Albemarle County
002,510009000029,0540,Red Hill Elementary,PK,05,Public school - Regular,Elementary,North Garden,22959,Membership,0020540,Valley,5,Albemarle County
002,510009001882,0030,Scottsville Elementary,PK,05,Public school - Regular,Elementary,Scottsville,24590,Membership,0020030,Valley,5,Albemarle County
002,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0028888,Valley,5,Albemarle County
002,510009000032,0920,Stone Robinson Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22911,Membership,0020920,Valley,5,Albemarle County
002,510009000033,0240,Stony Point Elementary,KG,05,Public school - Regular,Elementary,Keswick,22947,Membership,0020240,Valley,5,Albemarle County
002,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0029992,Valley,5,Albemarle County
002,510009000003,0910,Virginia L. Murray Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22903,Membership,0020910,Valley,5,Albemarle County
002,510009000035,0140,Western Albemarle High,09,12,Public school - Regular,High,Crozet,22932,Membership,0020140,Valley,5,Albemarle County
002,510009000036,0930,Woodbrook Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22901,Membership,0020930,Valley,5,Albemarle County
101,510012000054,0210,Alexandria City High,09,12,Public school - Regular,High,Alexandria,22302,Membership,1010210,Northern Virginia,4,Alexandria City
101,510012000038,0120,Charles Barrett Elementary,PK,05,Public school - Regular,Elementary,Alexandria,22302,Membership,1010120,Northern Virginia,4,Alexandria City
101,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,1019990,Northern Virginia,4,Alexandria City
101,510012001826,0160,Cora Kelly School for Math Science and Technology,PK,05,Public school - Regular,Elementary,Alexandria,22305,Membership,1010160,Northern Virginia,4,Alexandria City
101,510012000039,0110,Douglas MacArthur Elementary,KG,05,Public school - Regular,Elementary,Alexandria,22302,Membership,1010110,Northern Virginia,4,Alexandria City
101,510012003057,0360,Early Childhood Center,PK,PK,Public school - Preschool,Prekindergarten,Alexandria,22311,Membership,1010360,Northern Virginia,4,Alexandria City
101,510012003053,0350,Ferdinand T. Day Elementary,KG,05,Public school - Regular,Elementary,Alexandria,22311,Membership,1010350,Northern Virginia,4,Alexandria City
101,510012003016,0140,Francis C. Hammond Middle,06,08,Public school - Regular,Middle,Alexandria,22304,Membership,1010140,Northern Virginia,4,Alexandria City
101,510012000041,0100,George Mason Elementary,KG,05,Public school - Regular,Elementary,Alexandria,22302,Membership,1010100,Northern Virginia,4,Alexandria City
101,510012002999,0130,George Washington Middle,06,08,Public school - Regular,Middle,Alexandria,22301,Membership,1010130,Northern Virginia,4,Alexandria City
101,510012003067,0370,Governor's Health Science Academy at The Academies of ACHS,NA,NA,Public center - Governor's Health Academy,NA,Alexandria,22302,Non-Membership,1010370,Northern Virginia,4,Alexandria City
101,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,1019991,Northern Virginia,4,Alexandria City
101,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,1019999,Northern Virginia,4,Alexandria City
101,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,1019998,Northern Virginia,4,Alexandria City
101,510012000043,0220,James K. Polk Elementary,PK,05,Public school - Regular,Elementary,Alexandria,22304,Membership,1010220,Northern Virginia,4,Alexandria City
101,510012000044,0090,Jefferson-Houston PK-8 School,PK,08,Public school - Regular,Elementary,Alexandria,22314,Membership,1010090,Northern Virginia,4,Alexandria City
101,510012000045,0230,John Adams Elementary,PK,05,Public school - Regular,Elementary,Alexandria,22311,Membership,1010230,Northern Virginia,4,Alexandria City
101,NA,9997,Local or Regional Jail,KG,12,Local or Regional Jail,Other,Alexandria,22311,Membership,1019997,Northern Virginia,4,Alexandria City
101,510012000047,0080,Lyles-Crouch Elementary,KG,05,Public school - Regular,Elementary,Alexandria,22314,Membership,1010080,Northern Virginia,4,Alexandria City
101,510012000050,0030,Mount Vernon Elementary,PK,05,Public school - Regular,Elementary,Alexandria,22305,Membership,1010030,Northern Virginia,4,Alexandria City
101,510012000048,0060,Naomi L. Brooks Elementary,KG,05,Public school - Regular,Elementary,Alexandria,22301,Membership,1010060,Northern Virginia,4,Alexandria City
101,510012000052,0050,Patrick Henry K-8 School,KG,08,Public school - Regular,Elementary,Alexandria,22304,Membership,1010050,Northern Virginia,4,Alexandria City
101,510012002549,0333,Samuel W. Tucker Elementary,KG,05,Public school - Regular,Elementary,Alexandria,22304,Membership,1010333,Northern Virginia,4,Alexandria City
101,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,1018888,Northern Virginia,4,Alexandria City
101,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,1019992,Northern Virginia,4,Alexandria City
101,510012000055,0190,William Ramsay Elementary,PK,05,Public school - Regular,Elementary,Alexandria,22311,Membership,1010190,Northern Virginia,4,Alexandria City
003,510015201883,0310,Alleghany High,09,12,Public school - Regular,High,Covington,24426,Membership,0030310,Western Virginia,6,Alleghany County
003,510015201885,0110,Callaghan Elementary,PK,05,Public school - Regular,Elementary,Covington,24426,Membership,0030110,Western Virginia,6,Alleghany County
003,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0039990,Western Virginia,6,Alleghany County
003,510015201888,1040,Covington Middle,06,08,Public school - Regular,Middle,Covington,24426,Membership,0031040,Western Virginia,6,Alleghany County
003,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0039991,Western Virginia,6,Alleghany County
003,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0039999,Western Virginia,6,Alleghany County
003,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0039998,Western Virginia,6,Alleghany County
003,510015203122,0330,Jackson River Tech Ctr,NA,NA,Public center - Career and Technical Ed.,NA,Covington,24426,Non-Membership,0030330,Western Virginia,6,Alleghany County
003,510015200369,0360,Jeter-Watson Elementary,PK,05,Public school - Regular,Elementary,Covington,24426,Membership,0030360,Western Virginia,6,Alleghany County
003,510015201938,1041,Mountain View Elementary,KG,05,Public school - Regular,Elementary,Covington,24426,Membership,0031041,Western Virginia,6,Alleghany County
003,510015201891,0090,Sharon Elementary,PK,05,Public school - Regular,Elementary,Clifton Forge,24422,Membership,0030090,Western Virginia,6,Alleghany County
003,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0038888,Western Virginia,6,Alleghany County
003,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0039992,Western Virginia,6,Alleghany County
004,510018000062,0220,Amelia County Elementary,PK,05,Public school - Regular,Elementary,Amelia Court House,23002,Membership,0040220,Southside,8,Amelia County
004,510018001828,0010,Amelia County High,09,12,Public school - Regular,High,Amelia Court House,23002,Membership,0040010,Southside,8,Amelia County
004,510018000063,0210,Amelia County Middle,06,08,Public school - Regular,Middle,Amelia,23002,Membership,0040210,Southside,8,Amelia County
004,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0049990,Southside,8,Amelia County
004,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0049991,Southside,8,Amelia County
004,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0049999,Southside,8,Amelia County
004,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0049998,Southside,8,Amelia County
004,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0048888,Southside,8,Amelia County
004,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0049992,Southside,8,Amelia County
005,510021000064,0780,Amelon Elementary,KG,05,Public school - Regular,Elementary,Madison Heights,24572,Membership,0050780,Valley,5,Amherst County
005,510021000065,0750,Amherst County High,09,12,Public school - Regular,High,Amherst,24521,Membership,0050750,Valley,5,Amherst County
005,NA,0030,Amherst Educational Center,NA,NA,Public center - Alternative,NA,Madison Heights,24572,Non-Membership,0050030,Valley,5,Amherst County
005,510021000067,0790,Amherst Elementary,PK,05,Public school - Regular,Elementary,Amherst,24521,Membership,0050790,Valley,5,Amherst County
005,510021000066,0670,Amherst Middle,06,08,Public school - Regular,Middle,Amherst,24521,Membership,0050670,Valley,5,Amherst County
005,510021000068,0770,Central Elementary,PK,05,Public school - Regular,Elementary,Amherst,24521,Membership,0050770,Valley,5,Amherst County
005,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0059990,Valley,5,Amherst County
005,510021000069,0760,Elon Elementary,PK,05,Public school - Regular,Elementary,Madison Heights,24572,Membership,0050760,Valley,5,Amherst County
005,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0059991,Valley,5,Amherst County
005,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0059999,Valley,5,Amherst County
005,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0059998,Valley,5,Amherst County
005,NA,9997,Local or Regional Jail,KG,12,Local or Regional Jail,Other,Amherst,24521,Membership,0059997,Valley,5,Amherst County
005,510021000010,0500,Madison Heights Elementary,PK,05,Public school - Regular,Elementary,Madison Heights,24572,Membership,0050500,Valley,5,Amherst County
005,510021000072,0020,Monelison Middle,06,08,Public school - Regular,Middle,Madison Heights,24572,Membership,0050020,Valley,5,Amherst County
005,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0058888,Valley,5,Amherst County
005,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0059992,Valley,5,Amherst County
005,510021000075,0740,Temperance Elementary,PK,05,Public school - Regular,Elementary,Amherst,24521,Membership,0050740,Valley,5,Amherst County
006,510024000076,0260,Appomattox County High,09,12,Public school - Regular,High,Appomattox,24522,Membership,0060260,Southside,8,Appomattox County
006,510024000077,0110,Appomattox Elementary,03,05,Public school - Regular,Elementary,Appomattox,24522,Membership,0060110,Southside,8,Appomattox County
006,510024000078,0160,Appomattox Middle,06,08,Public school - Regular,Middle,Appomattox,24522,Membership,0060160,Southside,8,Appomattox County
006,510024000079,0250,Appomattox Primary,PK,02,Public school - Regular,Elementary,Appomattox,24522,Membership,0060250,Southside,8,Appomattox County
006,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0069990,Southside,8,Appomattox County
006,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0069991,Southside,8,Appomattox County
006,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0069999,Southside,8,Appomattox County
006,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0069998,Southside,8,Appomattox County
006,NA,9997,Local or Regional Jail,KG,12,Local or Regional Jail,Other,Appomattox,24522,Membership,0069997,Southside,8,Appomattox County
006,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0068888,Southside,8,Appomattox County
006,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0069992,Southside,8,Appomattox County
007,510027000081,0350,Abingdon Elementary,PK,05,Public school - Regular,Elementary,Arlington,22206,Membership,0070350,Northern Virginia,4,Arlington County
007,510027000094,0160,Alice West Fleet Elementary,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070160,Northern Virginia,4,Arlington County
007,NA,0621,Alternative Education Program Feeding Site,NA,NA,SNP feeding site,NA,Arlington,22207,Non-Membership,0070621,Northern Virginia,4,Arlington County
007,510027002875,0618,Arlington Community High,09,12,Public school - Regular,High,Arlington,22204,Membership,0070618,Northern Virginia,4,Arlington County
007,510027003093,0629,Arlington Science Focus School,PK,05,Public school - Regular,Elementary,Arlington,22201,Membership,0070629,Northern Virginia,4,Arlington County
007,510027000104,0470,Arlington Traditional,PK,05,Public school - Regular,Elementary,Arlington,22205,Membership,0070470,Northern Virginia,4,Arlington County
007,510027000082,0490,Ashlawn Elementary,PK,05,Public school - Regular,Elementary,Arlington,22205,Membership,0070490,Northern Virginia,4,Arlington County
007,510027000083,0150,Barcroft Elementary,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070150,Northern Virginia,4,Arlington County
007,510027000084,0250,Barrett Elementary,PK,05,Public school - Regular,Elementary,Arlington,22203,Membership,0070250,Northern Virginia,4,Arlington County
007,510027001940,0615,Campbell Elementary,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070615,Northern Virginia,4,Arlington County
007,510027000101,0380,Cardinal Elementary,PK,05,Public school - Regular,Elementary,Arlington,22205,Membership,0070380,Northern Virginia,4,Arlington County
007,510027000093,0090,Carlin Springs Elementary,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070090,Northern Virginia,4,Arlington County
007,510027002404,0622,Claremont Immersion,PK,05,Public school - Regular,Elementary,Arlington,22206,Membership,0070622,Northern Virginia,4,Arlington County
007,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0079990,Northern Virginia,4,Arlington County
007,510027003006,0626,Discovery Elementary,PK,05,Public school - Regular,Elementary,Arlington,22207,Membership,0070626,Northern Virginia,4,Arlington County
007,510027003062,0628,Dorothy Hamm Middle,06,08,Public school - Regular,Middle,Arlington,22207,Membership,0070628,Northern Virginia,4,Arlington County
007,510027000087,0200,Dr. Charles R. Drew Elementary,PK,05,Public school - Regular,Elementary,Arlington,22206,Membership,0070200,Northern Virginia,4,Arlington County
007,510027000090,0111,Escuela Key Elementary,PK,05,Public school - Regular,Elementary,Arlington,22205,Membership,0070111,Northern Virginia,4,Arlington County
007,510027002331,0619,Eunice Kennedy Shriver Program,NA,NA,Public center - Special Education,NA,Arlington,22209,Non-Membership,0070619,Northern Virginia,4,Arlington County
007,510027000092,0100,Glebe Elementary,PK,05,Public school - Regular,Elementary,Arlington,22207,Membership,0070100,Northern Virginia,4,Arlington County
007,510027003003,0623,Governor's Academy for Career and Technical Education in Arlington,NA,NA,Public center - Governor's STEM Academy,NA,Arlington,22204,Non-Membership,0070623,Northern Virginia,4,Arlington County
007,510027000752,0611,Gunston Middle,06,08,Public school - Regular,Middle,Arlington,22206,Membership,0070611,Northern Virginia,4,Arlington County
007,510027002659,0616,HB Woodlawn Secondary Program,NA,NA,Public center - Alternative,NA,Arlington,22209,Non-Membership,0070616,Northern Virginia,4,Arlington County
007,510027001900,0614,Hoffman-Boston Elementary,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070614,Northern Virginia,4,Arlington County
007,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0079991,Northern Virginia,4,Arlington County
007,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0079999,Northern Virginia,4,Arlington County
007,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0079998,Northern Virginia,4,Arlington County
007,510027001067,0613,Innovation Elementary,PK,05,Public school - Regular,Elementary,Arlington,22201,Membership,0070613,Northern Virginia,4,Arlington County
007,510027003068,0037,Integration Station,PK,PK,Public school - Preschool,Prekindergarten,Arlington,22203,Membership,0070037,Northern Virginia,4,Arlington County
007,510027000097,0440,Jamestown Elementary,PK,05,Public school - Regular,Elementary,Arlington,22207,Membership,0070440,Northern Virginia,4,Arlington County
007,510027000098,0180,Jefferson Middle,06,08,Public school - Regular,Middle,Arlington,22204,Membership,0070180,Northern Virginia,4,Arlington County
007,510027000099,0500,Kenmore Middle,06,08,Public school - Regular,Middle,Arlington,22204,Membership,0070500,Northern Virginia,4,Arlington County
007,510027002944,0617,Langston High Continuation Program,NA,NA,Public center - Alternative,NA,Arlington,22207,Non-Membership,0070617,Northern Virginia,4,Arlington County
007,NA,9997,Local Or Regional Jail,09,12,Local or Regional Jail,High,Arlington,22201,Membership,0079997,Northern Virginia,4,Arlington County
007,510027000100,0460,Long Branch Elementary,PK,05,Public school - Regular,Elementary,Arlington,22201,Membership,0070460,Northern Virginia,4,Arlington County
007,510027003063,0627,Montessori Public School of Arlington,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070627,Northern Virginia,4,Arlington County
007,510027002860,0625,New Directions Alternative H.S. Program,NA,NA,Public center - Alternative,NA,Arlington,22207,Non-Membership,0070625,Northern Virginia,4,Arlington County
007,510027000102,0410,Nottingham Elementary,KG,05,Public school - Regular,Elementary,Arlington,22207,Membership,0070410,Northern Virginia,4,Arlington County
007,510027000103,0360,Oakridge Elementary,PK,05,Public school - Regular,Elementary,Arlington,22202,Membership,0070360,Northern Virginia,4,Arlington County
007,510027000013,0510,Randolph Elementary,PK,05,Public school - Regular,Elementary,Arlington,22204,Membership,0070510,Northern Virginia,4,Arlington County
007,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0078888,Northern Virginia,4,Arlington County
007,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0079992,Northern Virginia,4,Arlington County
007,510027000107,0240,Swanson Middle,06,08,Public school - Regular,Middle,Arlington,22205,Membership,0070240,Northern Virginia,4,Arlington County
007,510027000108,0420,Taylor Elementary,PK,05,Public school - Regular,Elementary,Arlington,22207,Membership,0070420,Northern Virginia,4,Arlington County
007,510027000109,0162,Technical Education & Career Center,NA,NA,Public center - Career and Technical Ed.,NA,Arlington,22204,Non-Membership,0070162,Northern Virginia,4,Arlington County
007,510027000110,0211,Tuckahoe Elementary,PK,05,Public school - Regular,Elementary,Arlington,22213,Membership,0070211,Northern Virginia,4,Arlington County
007,NA,0630,Virtual Learning Program,NA,NA,Public center - Virtual,NA,Arlington,22204,Non-Membership,0070630,Northern Virginia,4,Arlington County
007,510027000111,0450,Wakefield High,09,12,Public school - Regular,High,Arlington,22206,Membership,0070450,Northern Virginia,4,Arlington County
007,510027000112,0080,Washington-Liberty High,09,12,Public school - Regular,High,Arlington,22201,Membership,0070080,Northern Virginia,4,Arlington County
007,510027000113,0480,Williamsburg Middle,06,08,Public school - Regular,Middle,Arlington,22207,Membership,0070480,Northern Virginia,4,Arlington County
007,510027000115,0330,Yorktown High,09,12,Public school - Regular,High,Arlington,22207,Membership,0070330,Northern Virginia,4,Arlington County
008,510030000117,0660,Buffalo Gap High,09,12,Public school - Regular,High,Swoope,24479,Membership,0080660,Valley,5,Augusta County
008,510030003141,0650,Buffalo Gap Middle,06,08,Public school - Regular,Middle,Swoope,24479,Membership,0080650,Valley,5,Augusta County
008,510030000118,0030,Cassell Elementary,PK,05,Public school - Regular,Elementary,Waynesboro,22980,Membership,0080030,Valley,5,Augusta County
008,510030000119,0140,Churchville Elementary,PK,05,Public school - Regular,Elementary,Churchville,24421,Membership,0080140,Valley,5,Augusta County
008,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0089990,Valley,5,Augusta County
008,510030000120,0370,Craigsville Elementary,PK,05,Public school - Regular,Elementary,Craigsville,24430,Membership,0080370,Valley,5,Augusta County
008,510030001080,0842,Edward G. Clymore Elementary,PK,05,Public school - Regular,Elementary,Fort Defiance,24437,Membership,0080842,Valley,5,Augusta County
008,510030000124,0670,Fort Defiance High,09,12,Public school - Regular,High,Fort Defiance,24437,Membership,0080670,Valley,5,Augusta County
008,510030001901,0843,Guy K. Stump Elementary,PK,05,Public school - Regular,Elementary,Stuarts Draft,24477,Membership,0080843,Valley,5,Augusta County
008,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0089991,Valley,5,Augusta County
008,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0089999,Valley,5,Augusta County
008,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0089998,Valley,5,Augusta County
008,NA,9997,Middle River Regional Jail,09,12,Local or Regional Jail,High,Staunton,24402,Membership,0089997,Valley,5,Augusta County
008,510030000127,0040,North River Elementary,PK,05,Public school - Regular,Elementary,Mount Solon,22843,Membership,0080040,Valley,5,Augusta County
008,510030000128,0740,Riverheads Elementary,PK,05,Public school - Regular,Elementary,Staunton,24401,Membership,0080740,Valley,5,Augusta County
008,510030000129,0680,Riverheads High,09,12,Public school - Regular,High,Staunton,24401,Membership,0080680,Valley,5,Augusta County
008,510030003142,0070,Riverheads Middle,06,08,Public school - Regular,Middle,Staunton,24401,Membership,0080070,Valley,5,Augusta County
008,510030001830,0090,S. Gordon Stewart Middle,06,08,Public school - Regular,Middle,Fort Defiance,24437,Membership,0080090,Valley,5,Augusta County
008,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0088888,Valley,5,Augusta County
008,510030000131,0440,Stuarts Draft Elementary,PK,05,Public school - Regular,Elementary,Stuarts Draft,24477,Membership,0080440,Valley,5,Augusta County
008,510030000132,0730,Stuarts Draft High,09,12,Public school - Regular,High,Stuarts Draft,24477,Membership,0080730,Valley,5,Augusta County
008,510030000130,0060,Stuarts Draft Middle,06,08,Public school - Regular,Middle,Stuarts Draft,24477,Membership,0080060,Valley,5,Augusta County
008,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0089992,Valley,5,Augusta County
008,510030000137,0640,Wilson Elementary,PK,05,Public school - Regular,Elementary,Fishersville,22939,Membership,0080640,Valley,5,Augusta County
008,510030000138,0720,Wilson Memorial High,09,12,Public school - Regular,High,Fishersville,22939,Membership,0080720,Valley,5,Augusta County
