school_year,behavior_code,behavior,region_name,total_events
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Central Virginia,5016
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Northern Neck,3315
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Northern Virginia,8391
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Southside,2067
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Southwest,2098
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Tidewater,10055
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Valley,5687
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",Western Virginia,4517
2021-2022,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",NA,526
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Central Virginia,627
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Northern Neck,451
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Northern Virginia,1984
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Southside,94
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Southwest,157
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Tidewater,1798
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Valley,576
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",Western Virginia,431
2021-2022,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",NA,50
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Central Virginia,278
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Northern Neck,142
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Northern Virginia,799
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Southside,89
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Southwest,71
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Tidewater,366
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Valley,248
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",Western Virginia,92
2021-2022,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",NA,9
2021-2022,BAP4,Unexcused tardiness to class,Central Virginia,1124
2021-2022,BAP4,Unexcused tardiness to class,Northern Neck,2849
2021-2022,BAP4,Unexcused tardiness to class,Northern Virginia,15879
2021-2022,BAP4,Unexcused tardiness to class,Southside,610
2021-2022,BAP4,Unexcused tardiness to class,Southwest,445
2021-2022,BAP4,Unexcused tardiness to class,Tidewater,3956
2021-2022,BAP4,Unexcused tardiness to class,Valley,1596
2021-2022,BAP4,Unexcused tardiness to class,Western Virginia,885
2021-2022,BAP4,Unexcused tardiness to class,NA,5
2021-2022,BAP5,Unexcused tardiness to school,Central Virginia,439
2021-2022,BAP5,Unexcused tardiness to school,Northern Neck,645
2021-2022,BAP5,Unexcused tardiness to school,Northern Virginia,3234
2021-2022,BAP5,Unexcused tardiness to school,Southside,31
2021-2022,BAP5,Unexcused tardiness to school,Southwest,267
2021-2022,BAP5,Unexcused tardiness to school,Tidewater,656
2021-2022,BAP5,Unexcused tardiness to school,Valley,820
2021-2022,BAP5,Unexcused tardiness to school,Western Virginia,1628
2021-2022,BAP5,Unexcused tardiness to school,NA,6
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Central Virginia,676
